,epoch_number,train_loss,train_perplexity,validation_loss,valid_perplexity,epoch_training_time,model_name,learning_rate
0,0,5.61539803958266,274.6226681354894,5.661308165391281,287.52452627783344,128.4811475276947,./trained_models/AMI_2019-08-02--14-24-14/epoch000_5.6613.model,1.0
1,1,4.930769143856549,138.48598703367836,4.855164341131846,128.4017911765698,127.0087742805481,./trained_models/AMI_2019-08-02--14-24-14/epoch001_4.8552.model,1.0
2,2,4.529755047500698,92.73584242335276,4.432350168625514,84.12890186355965,126.61008167266846,./trained_models/AMI_2019-08-02--14-24-14/epoch002_4.4324.model,1.0
3,3,4.407788364773148,82.08771451593685,4.333398427565893,76.20281677540542,126.55340194702148,./trained_models/AMI_2019-08-02--14-24-14/epoch003_4.3334.model,1.0
4,4,4.327087384242572,75.72341186116283,4.242856647570926,69.60640907911666,126.4412305355072,./trained_models/AMI_2019-08-02--14-24-14/epoch004_4.2429.model,1.0
5,5,4.256167477537823,70.53912197503287,4.2049008627732585,67.01395375945219,126.6764657497406,./trained_models/AMI_2019-08-02--14-24-14/epoch005_4.2049.model,1.0
6,6,4.207952073241116,67.21873970028095,4.166823506355285,64.51021003271819,126.44271397590637,./trained_models/AMI_2019-08-02--14-24-14/epoch006_4.1668.model,1.0
7,7,4.213695779909271,67.60593532830761,4.138789685567221,62.72685626813317,126.56952118873596,./trained_models/AMI_2019-08-02--14-24-14/epoch007_4.1388.model,1.0
8,8,4.135034350806403,62.49173767517916,4.121540822585424,61.65416724774987,126.17844128608704,./trained_models/AMI_2019-08-02--14-24-14/epoch008_4.1215.model,1.0
9,9,4.098574382680358,60.25432672650293,4.10738204518954,60.7873704899156,125.4266402721405,./trained_models/AMI_2019-08-02--14-24-14/epoch009_4.1074.model,1.0
10,10,3.9800261317441668,53.51843273921085,4.057642740011214,57.837811500779445,127.08163785934448,./trained_models/AMI_2019-08-02--14-24-14/epoch010_4.0576.model,0.5
11,11,3.9465991604617785,51.75904298037789,4.045043808221818,57.11368802845455,125.1246566772461,./trained_models/AMI_2019-08-02--14-24-14/epoch011_4.0450.model,0.5
12,12,3.8725159301488663,48.063157638063544,4.026072674989699,56.04038967666563,124.9642436504364,./trained_models/AMI_2019-08-02--14-24-14/epoch012_4.0261.model,0.25
13,13,3.8496907569402707,46.97853319969105,4.021724687019986,55.797255691392145,127.40847063064575,./trained_models/AMI_2019-08-02--14-24-14/epoch013_4.0217.model,0.25
14,14,3.7959547122559543,44.52072059981187,4.01384595433871,55.359371281672004,127.20073866844177,./trained_models/AMI_2019-08-02--14-24-14/epoch014_4.0138.model,0.125
15,15,3.7782020415410886,43.73733309133898,4.010585761070251,55.1791829161213,127.25876450538635,./trained_models/AMI_2019-08-02--14-24-14/epoch015_4.0106.model,0.0625
16,16,3.7660602588427317,43.20949483047403,4.008402605851493,55.05884959592319,125.88515329360962,./trained_models/AMI_2019-08-02--14-24-14/epoch016_4.0084.model,0.03125
17,17,3.761143242189465,42.997554508866294,4.007009460528693,54.98219802291754,125.27625060081482,./trained_models/AMI_2019-08-02--14-24-14/epoch017_4.0070.model,0.015625
18,18,3.755589119935834,42.75940280855986,4.006753794352211,54.968142731382365,125.46147918701172,./trained_models/AMI_2019-08-02--14-24-14/epoch018_4.0068.model,0.015625
19,19,3.7563189746839214,42.790622353205656,4.005894766251248,54.92094382761313,125.7584011554718,./trained_models/AMI_2019-08-02--14-24-14/epoch019_4.0059.model,0.0078125
20,20,3.758540026862761,42.8857681810278,4.0054322481155396,54.895547768584315,126.7500970363617,./trained_models/AMI_2019-08-02--14-24-14/epoch020_4.0054.model,0.00390625
21,21,3.759122221525751,42.91074331587069,4.00510779619217,54.877739691614984,127.22114586830139,./trained_models/AMI_2019-08-02--14-24-14/epoch021_4.0051.model,0.001953125
22,22,3.748584386677795,42.46093117510848,4.0049520353476185,54.869192554205505,126.94349598884583,./trained_models/AMI_2019-08-02--14-24-14/epoch022_4.0050.model,0.0009765625
23,23,3.752760618081795,42.638628643932876,4.0048748672008525,54.86495856366826,126.770254611969,./trained_models/AMI_2019-08-02--14-24-14/epoch023_4.0049.model,0.00048828125
24,24,3.7607939741332026,42.98253945887025,4.00485419034958,54.86382414080813,127.37290024757385,./trained_models/AMI_2019-08-02--14-24-14/epoch024_4.0049.model,0.00024414062
25,25,3.7554801270398337,42.7547425913864,4.004834314187368,54.86273366937721,126.9825963973999,./trained_models/AMI_2019-08-02--14-24-14/epoch025_4.0048.model,0.00012207031
26,26,3.7535166445510133,42.6708767644792,4.004821648200352,54.862038783105575,126.46019148826599,./trained_models/AMI_2019-08-02--14-24-14/epoch026_4.0048.model,6.1035156e-05
27,27,3.747450126813757,42.41279674872144,4.004816683133442,54.86176639008845,127.04888319969177,./trained_models/AMI_2019-08-02--14-24-14/epoch027_4.0048.model,3.0517578e-05
28,28,3.7539651040870745,42.6900172176149,4.004813728729882,54.86160430652995,126.74528551101685,./trained_models/AMI_2019-08-02--14-24-14/epoch028_4.0048.model,1.5258789e-05
